"Family","Scientific Name","Common Name","Category","Height","Width","Est Root Vol.","Surface Area (m2)","Field Size Index","Shape/Habit","Est. Crown Clearance (m)","Natural Form","Est. Lifespan (years)","Growth rate","Shade Density","Deciduous","Leaf/Fruit drop","Aspect","Powerlines","Drought","Wind","Salt","Water Req.","Drainage","Soil Types","Root Vigour","Uses","Appeal/Value","Weed Risk","Commercially Available"
"EUPHORBIACEAE","Mallotus","Red","Trial",8,6,17,28,26,"Round","<1.5m","Bush",">50","Moderate","Medium","No","Moderate","Full","No","Moderate","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Parks","Rare","Low","No"
"MYRTACEAE","Melaleuca","Honey","Australian",6,4,8,13,14,"Round","1.5-3m","Bush","<25","Fast","Medium","No","Low","Full","Yes-Pruned","High","High","High","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks,Wet","Foliage,Attracts","Low","Yes"
"MYRTACEAE","Melaleuca","Honey","Australian",6,4,8,13,14,"Round","1.5-3m","Bush","<25","Fast","Medium","No","Low","Full","Yes-Pruned","High","High","High","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks,Wet","Foliage,Attracts","Low","No"
"MYRTACEAE","Melaleuca","White","Local",10,6,8,13,26,"Round","3-5m","Low","25-50","Moderate","Medium","No","Low","Full","No","High","High","High","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Major","Residential,Parks,Wet","Attracts","Low","Yes"
"MYRTACEAE","Melaleuca","Snow","Local",10,6,8,13,26,"Round","3-5m","Low","25-50","Moderate","Medium","No","Low","Full","No","High","High","High","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Major","Residential,Parks,Wet","Attracts","Low","Yes"
"MYRTACEAE","Melaleuca","Weeping","Australian",15,10,47,79,128,"Pendulous","1.5-3m","Vertical/Upright,",">50","Moderate","Medium","No","Low","Full","No","Moderate","Moderate","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Parks","Attracts","Low","Yes"
"MYRTACEAE","Melaleuca","Paperbark","Australian",20,12,68,113,200,"Round","1.5-3m","Vertical/Upright",">50","Moderate","Medium","No","Low","Full","No","Moderate","High","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Major","Parks","Attracts","Low","Yes"
"MYRTACEAE","Melaleuca","Prickly-leaved","Local",8,6,17,28,26,"Broad-domed","3-5m","Low","25-50","Moderate","Medium","No","Low","Full","No","High","High","High","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Major","Residential,Parks,Wet","Attracts","Low","Yes"
"MELIACEAE","Melia","White","Local",10,8,17,28,40,"Round,Spreading","1.5-3m","Lateral",">50","Fast","Medium","Yes","High","Full","No","High","Low","High","Moderate","Moderate,Well","Sand,Loam","Moderate","Parks","Flowers,Flowers,Attracts","High","Yes"
"RUTACEAE","Melicope","Pink","Australian",10,6,17,28,40,"Oval,Round","1.5-3m","Bush","25-50","Fast","Medium","No","Low","Full","No","High","Moderate","Low","Moderate","Well","Sand,Loam","Major","Residential,Parks","Flowers,Attracts","High","Yes"
